question_id,db_id,question,difficulty,judge_evaluation_sql_eval_reasoning,judge_evaluation_sql_eval_status,judge_evaluation_sparql_eval_reasoning,judge_evaluation_sparql_eval_status,judge_evaluation_sparql_eval_error_category,judge_evaluation_comparison_summary,judge_evaluation_comparison_winner
1471,debit_card_specializing,What is the ratio of customers who pay in EUR against customers who pay in CZK? Context: ratio of customers who pay in EUR against customers who pay in CZK = count(Currency = 'EUR') / count(Currency = 'CZK').,simple,The SQL result returns a single numeric ratio matching the ground truth value (0.06572769953051644). Numeric equality is exact within allowed rounding.,CORRECT,"The SPARQL result provides the counts (2002 and 30459) and the computed ratio 0.0657277, which matches the ground truth within rounding tolerances. Extra columns are allowed.",CORRECT,NONE,Both SQL and SPARQL produced the correct ratio (SPARQL also included the underlying counts).,TIE_BOTH_CORRECT
1472,debit_card_specializing,"In 2012, who had the least consumption in LAM? Context: Year 2012 can be presented as Between 201201 And 201212; The first 4 strings of the Date values in the yearmonth table can represent year.",moderate,"SQL output exactly matches the ground truth CustomerID 47273 (one row), so it is correct.",CORRECT,SPARQL returns the same customer (47273) with additional allowed columns (label and totalConsumption). The presence of the correct customer satisfies the ground truth; numeric value 0.74 is acceptable.,CORRECT,NONE,Both predictions return the correct customer (47273); SQL matches the ground truth exactly and SPARQL includes the correct customer with extra permitted fields.,TIE_BOTH_CORRECT
1473,debit_card_specializing,What was the average monthly consumption of customers in SME for the year 2013? Context: Average Monthly consumption = AVG(Consumption) / 12; Year 2013 can be presented as Between 201301 And 201312; The first 4 strings of the Date values in the yearmonth table can represent year.,moderate,"The SQL result value 459.9562642870894 matches the ground truth numeric value (column name formatting differs only by whitespace), so it is correct.",CORRECT,"The SPARQL result returns 3682.64, which does not match the ground truth average 459.9562642870894, indicating an incorrect computation or aggregation logic.",WRONG_ANSWER,LOGIC,The SQL prediction matches the ground truth exactly; the SPARQL prediction returns an incorrect value.,SQL
1476,debit_card_specializing,What was the difference in gas consumption between CZK-paying customers and EUR-paying customers in 2012? Context: Year 2012 can be presented as Between 201201 And 201212; The first 4 strings of the Date values in the yearmonth table can represent year; Difference in Consumption = CZK customers consumption in 2012 - EUR customers consumption in 2012,challenging,SQL result exactly matches the ground truth value (402524570.17) for the single-row difference; column naming/formatting ignored per rules.,CORRECT,SPARQL returns the correct single-row result with the expected CZK and EUR sums and a difference very close to the ground truth (402525000.0 vs 402524570.17); the small numeric discrepancy is within allowed rounding tolerance and extra columns are permitted.,CORRECT,NONE,"Both predictions produce the correct numeric difference for 2012 (SPARQL has a minor rounding variance and extra columns), so both are correct.",TIE_BOTH_CORRECT
1479,debit_card_specializing,Which year recorded the most consumption of gas paid in CZK? Context: The first 4 strings of the Date values in the yearmonth table can represent year.,moderate,"SQL returned a single row with year '2013', which exactly matches the ground truth value (2013). Column naming and formatting differences are ignored per instructions.",CORRECT,"SPARQL returned year '2012' (with a total value), which does not match the ground truth year '2013'. The presence of an extra total column is allowed but the core value is incorrect.",WRONG_ANSWER,LOGIC,The SQL prediction matches the ground truth (2013); the SPARQL prediction returns the wrong year (2012).,SQL
1480,debit_card_specializing,What was the gas consumption peak month for SME customers in 2013? Context: Year 2013 can be presented as Between 201301 And 201312; The first 4 strings of the Date values in the yearmonth table can represent year; The 5th and 6th string of the date can refer to month.,moderate,"The SQL output returns the single month value '04', which exactly matches the ground truth value and row count.",CORRECT,The SPARQL output includes the correct month '04' and an extra totalConsumption column (allowed by criteria). The presence of the correct month with the expected single row makes it semantically correct.,CORRECT,NONE,Both predictions return the correct peak month '04' for SME customers in 2013.,TIE_BOTH_CORRECT
1481,debit_card_specializing,"What is the difference in the annual average consumption of the customers with the least amount of consumption paid in CZK for 2013 between SME and LAM, LAM and KAM, and KAM and SME? Context: annual average consumption of customer with the lowest consumption in each segment = total consumption per year / the number of customer with lowest consumption in each segment; Difference in annual average = SME's annual average - LAM's annual average; Difference in annual average = LAM's annual average - KAM's annual average; Year 2013 can be presented as Between 201301 And 201312; The first 4 strings of the Date values in the yearmonth table can represent year.",challenging,"The SQL prediction returns values [-14009.34, 6046.62, 7962.72], which do not match the ground truth values [0.0, 582092.86, -582092.86]. Row counts match (1 row) but the numeric values differ substantially (orders of magnitude), so the SQL result is incorrect.",WRONG_ANSWER,"The SPARQL prediction returns values [-13820.9, 5858.2, 7962.72], which also do not match the ground truth [0.0, 582092.86, -582092.86]. Although row count and column presence are fine, the numeric results differ greatly from the ground truth, so the SPARQL result is incorrect.",WRONG_ANSWER,LOGIC,"Both SQL and SPARQL predictions produce numeric results that differ substantially from the ground truth, so neither is correct.",TIE_BOTH_INCORRECT
1482,debit_card_specializing,"Which of the three segments—SME, LAM and KAM—has the biggest and lowest percentage increases in consumption paid in EUR between 2012 and 2013? Context: Increase or Decrease = consumption for 2013 - consumption for 2012; Percentage of Increase = (Increase or Decrease / consumption for 2013) * 100%; The first 4 strings of the Date values in the yearmonth table can represent year",challenging,"The SQL result returns only two segments (SME and LAM) with percentage increases (~88% and ~84%), missing KAM entirely and the numeric values do not match the ground truth percentages (SME ~545.4, LAM ~681.6, KAM ~708.1). Therefore the SQL output is incorrect.",WRONG_ANSWER,"The SPARQL output lists all three segments but shows sum2013 = 0 for every segment, negative 'increase' values equal to -sum2012, and pctIncrease = 0, which contradicts the ground truth positive large percentage increases (SME ~545.4, LAM ~681.6, KAM ~708.1). This indicates incorrect logic in computing 2013 sums/percentages.",WRONG_ANSWER,LOGIC,"Both predictions are incorrect: the SQL result misses KAM and has wrong percentages, and the SPARQL result computes zero 2013 consumption and incorrect zero percentages.",TIE_BOTH_INCORRECT
1483,debit_card_specializing,How much did customer 6 consume in total between August and November 2013? Context: Between August And November 2013 refers to Between 201308 And 201311; The first 4 strings of the Date values in the yearmonth table can represent year; The 5th and 6th string of the date can refer to month.,simple,The SQL output matches the ground truth value exactly (SUM = 1224.96) and has the expected single-row result; semantically equivalent.,CORRECT,The SPARQL output contains the correct aggregate total (1224.96) for customer 6; the extra customer column is allowed by the criteria and does not alter correctness.,CORRECT,NONE,Both predictions returned the correct total (1224.96); the SQL matches exactly and the SPARQL is also correct despite an extra customer column.,TIE_BOTH_CORRECT
1484,debit_card_specializing,"How many more ""discount"" gas stations does the Czech Republic have compared to Slovakia? Context: Czech Republic can be represented as the Country value in gasstations table is 'CZE'; Slovakia can be represented as the Country value in the gasstations table is 'SVK';  Computation of more ""discount"" gas stations= Total no. of discount gas stations in Czech Republic - Total no. of discount gas stations in Slovakia",simple,"The SQL result equals 176, which matches the ground truth difference; counts and final subtraction align with the expected value.",CORRECT,The SPARQL result shows countCZE=235 and countSVK=59 with difference=176; the computed difference matches the ground truth and extra columns are allowed.,CORRECT,NONE,Both SQL and SPARQL produce the correct difference of 176 (SPARQL includes the individual counts as extra allowed columns).,TIE_BOTH_CORRECT
1486,debit_card_specializing,"Is it true that more SMEs pay in Czech koruna than in euros? If so, how many more? Context: Amount of more SMEs = Total of SMEs pay using Currency CZK - Total of SMEs pay using Currency EUR",simple,"SQL result contains a boolean indicator (is_more_czk = 1) and the numeric difference how_many_more = 23505, which matches the ground truth difference value 23505. Row count and values align with the ground truth.",CORRECT,"SPARQL result shows czkCount = 25134, eurCount = 1629 and difference = 23505. The difference value matches the ground truth (23505). Extra columns are allowed, so this is semantically correct.",CORRECT,NONE,"Both SQL and SPARQL return the correct difference (23505), so both are correct.",TIE_BOTH_CORRECT
1490,debit_card_specializing,How many percent of LAM customer consumed more than 46.73? Context: Percentage of LAM customer consumed more than 46.73 = (Total no. of LAM customers who consumed more than 46.73 / Total no. of LAM customers) * 100.,moderate,"The SQL result returns 98.39 (rounded to 2 decimals). The ground truth value is 98.5267932135058; the prediction's value (98.39) deviates from the ground truth by ~0.137 percentage points, so it does not match the expected result (the rounding alone does not account for the discrepancy).",WRONG_ANSWER,The SPARQL result gives counts totalLAM=3658 and aboveLAM=3599 producing percent = 98.3871. This differs from the ground truth 98.526793... (the underlying counts/aggregation therefore do not match the ground truth calculation).,WRONG_ANSWER,LOGIC,"Both predictions produce ~98.39% but differ from the ground truth value 98.526793, so neither matches the expected result.",TIE_BOTH_INCORRECT
1493,debit_card_specializing,"In February 2012, what percentage of customers consumed more than 528.3? Context: February 2012 refers to '201202' in yearmonth.date; The first 4 strings of the Date values in the yearmonth table can represent year; The 5th and 6th string of the date can refer to month.",simple,"The SQL result returns the same single numeric percentage (66.62300807683911) as the ground truth calculation (same numerator/denominator logic), matching value and row count—semantically correct.",CORRECT,"The SPARQL result returns the same single percentage value rounded to 66.623, which is within allowable small numeric rounding differences and matches the ground truth semantically.",CORRECT,NONE,"Both SQL and SPARQL results produce the correct single percentage (SPARQL slightly rounded), so both are correct.",TIE_BOTH_CORRECT
1498,debit_card_specializing,What is the highest monthly consumption in the year 2012? Context: The first 4 strings of the Date values in the yearmonth table can represent year; The 5th and 6th string of the date can refer to month.,simple,"The SQL result returns a single MAX(Consumption) value of 445,279.69 which does not match the ground truth SUM(Consumption)=51,787,161.74. The value is far smaller and appears to be a different aggregation (max of a single consumption column) rather than the expected aggregated monthly total, so it is incorrect.",WRONG_ANSWER,"The SPARQL result returns a consumptionValue of 445,280.0 for a specific month (with extra columns month and date). This numeric value matches the SQL prediction (within rounding) but does not match the ground truth SUM(Consumption)=51,787,161.74, indicating an incorrect aggregation/logic. The error is a logical/aggregation mismatch rather than syntax or schema.",WRONG_ANSWER,LOGIC,"Both predictions return the same (~445,280) incorrect value (different aggregation) while the ground truth is 51,787,161.74, so both are wrong.",TIE_BOTH_INCORRECT
1500,debit_card_specializing,"Please list the product description of the products consumed in September, 2013. Context: September 2013 refers to 201309; The first 4 strings of the Date values in the yearmonth table can represent year; The 5th and 6th string of the date can refer to month.",simple,"The ground truth contains 976 rows of product descriptions for September 2013, but the SQL prediction returned 0 rows. That indicates the SQL query failed to retrieve the expected data (likely incorrect filtering on the date/yearmonth or wrong join), so the result is incorrect.",WRONG_ANSWER,"The SPARQL prediction returned 0 rows while the ground truth has 976 rows. This indicates the SPARQL query did not retrieve the expected products for 201309 (likely incorrect date filtering or triple patterns), so the result is incorrect.",WRONG_ANSWER,LOGIC,"Both the SQL and SPARQL predictions returned no rows while the ground truth has 976 rows for September 2013, so both are incorrect.",TIE_BOTH_INCORRECT
1501,debit_card_specializing,"Please list the countries of the gas stations with transactions taken place in June, 2013. Context: June 2013 refers to '201306'; The first 4 strings of the Date values in the yearmonth table can represent year; The 5th and 6th string of the date can refer to month;",moderate,"SQL output matches the ground truth exactly: two rows with countries 'CZE' and 'SVK', same count and values (ordering irrelevant).",CORRECT,"SPARQL returned zero rows while the ground truth has two countries ('CZE', 'SVK'); the query executed but failed to retrieve the expected results, indicating a logic/mapping error.",WRONG_ANSWER,LOGIC,The SQL prediction matches the ground truth while the SPARQL prediction returns no results.,SQL
1505,debit_card_specializing,"Among the customers who paid in euro, how many of them have a monthly consumption of over 1000? Context: Pays in euro = Currency = 'EUR'.",simple,"The ground truth count is 2730, but the SQL result returns 391 distinct customers, which does not match. Likely an incorrect filter or aggregation (e.g., overly restrictive DISTINCT or join) caused undercounting.",WRONG_ANSWER,"The SPARQL result also returns 391, which does not match the ground truth 2730. This indicates a logical error in the query (wrong filters or graph pattern) rather than a syntax or schema issue.",WRONG_ANSWER,LOGIC,"Both predictions return 391 but the correct answer is 2730, so both are incorrect.",TIE_BOTH_INCORRECT
1506,debit_card_specializing,Please list the product descriptions of the transactions taken place in the gas stations in the Czech Republic. Context: Czech Republic can be represented as the Country value in the gasstations table is 'CZE';,moderate,SQL result matches the ground truth exactly: same 21 Description values and same row count; values correspond semantically to the expected set.,CORRECT,"SPARQL returns the correct productDescription values but has 22 rows instead of 21 due to a duplicate 'Provoz.nápl.' (two different product URIs), so the row count does not match the ground truth. Extra column with product URI is allowed, but the duplicate row makes the result incorrect.",WRONG_ANSWER,LOGIC,The SQL prediction exactly matches the ground truth; the SPARQL prediction contains an extra duplicate row and therefore is incorrect.,SQL
1507,debit_card_specializing,Please list the disparate time of the transactions taken place in the gas stations from chain no. 11.,simple,"SQL output contains the same two Time values ('11:55:00' and '14:29:00') as the ground truth, row count matches, ordering differences are irrelevant.",CORRECT,"SPARQL output contains the same two time values ('11:55:00' and '14:29:00') as the ground truth, row count matches, and no schema issues.",CORRECT,NONE,Both SQL and SPARQL returned exactly the same set of times as the ground truth.,TIE_BOTH_CORRECT
1509,debit_card_specializing,"Among the transactions made in the gas stations in the Czech Republic, how many of them are taken place after 2012/1/1? Context: Czech Republic can be represented as the Country value in the gasstations table is 'CZE'",moderate,The SQL result returns a single count value of 933 which exactly matches the ground truth count; values and row count are identical.,CORRECT,The SPARQL result returns a single count value of 933 which exactly matches the ground truth count; values and row count are identical. Extra column naming is allowed.,CORRECT,NONE,Both SQL and SPARQL predictions produce the exact same count (933) as the ground truth.,TIE_BOTH_CORRECT
1514,debit_card_specializing,What kind of currency did the customer paid at 16:25:00 in 2012/8/24? Context: '2012/8/24' can be represented by '2012-08-24';,simple,SQL result matches the ground truth value 'CZK' and the row count (1). No discrepancies in values.,CORRECT,SPARQL result contains the correct value 'CZK' (column name case differs but column names are ignored). Row count matches. No extra-value issues.,CORRECT,NONE,Both SQL and SPARQL returned the correct currency 'CZK' for the specified date and time.,TIE_BOTH_CORRECT
1515,debit_card_specializing,What segment did the customer have at 2012/8/23 21:20:00? Context: '2012/8/23' can be represented by '2012-08-23',simple,SQL result matches the ground truth exactly: single row with Segment = 'KAM'.,CORRECT,"SPARQL result contains the required Segment = 'KAM' in its single row; extra columns (tx, customer) are allowed by the evaluation rules.",CORRECT,NONE,Both SQL and SPARQL returned the correct segment 'KAM' for the given timestamp.,TIE_BOTH_CORRECT
1521,debit_card_specializing,"For all the transactions happened during 8:00-9:00 in 2012/8/26, how many happened in CZE? Context: Czech Republic can be represented as the Country value in the gasstations table is 'CZE'; '2012/8/26' can be represented by '2012-08-26'; during 8:00-9:00 can be represented as Time BETWEEN '08:00:00' AND '09:00:00'",moderate,"The SQL result count is 14, which exactly matches the ground truth count of 14; values and row count align.",CORRECT,"The SPARQL result count is 0, which does not match the ground truth count of 14, indicating an incorrect retrieval (likely a logic/filtering issue).",WRONG_ANSWER,LOGIC,The SQL prediction matches the ground truth; the SPARQL prediction returns an incorrect count.,SQL
1524,debit_card_specializing,What's the nationality of the customer who spent 548.4 in 2012/8/24? Context: '2012/8/24' can be represented by '2012-08-24',simple,The SQL result returns a currency value 'CZK' instead of the expected nationality code 'CZE'; values do not match the ground truth.,WRONG_ANSWER,"The SPARQL result returns a customer URI but the 'country' binding is null, so it does not provide the expected country value 'CZE'.",WRONG_ANSWER,SCHEMA,"Both predictions fail to return the expected country 'CZE' (SQL returns a currency code, SPARQL returns null country).",TIE_BOTH_INCORRECT
1525,debit_card_specializing,What is the percentage of the customers who used EUR in 2012/8/25? Context: '2012/8/25' can be represented by '2012-08-25',simple,"The SQL output returns a single percentage value 2.7027027027027026, which does not match the ground-truth value 1.6470588235294117 (difference is substantial, beyond rounding). Therefore the SQL result is incorrect.",WRONG_ANSWER,"The SPARQL output reports 0 EUR customers and a total of 32461 customers yielding 0.0%, which contradicts the ground-truth percentage 1.6470588235294117. The query executed but its logic produced incorrect counts (likely wrong filtering or joins), so the result is incorrect.",WRONG_ANSWER,LOGIC,Both predicted queries produced percentages that do not match the ground-truth value; neither is correct.,TIE_BOTH_INCORRECT
1526,debit_card_specializing,"For the customer who paid 634.8 in 2012/8/25, what was the consumption decrease rate from Year 2012 to 2013? Context: '2012/8/24' can be represented by '2012-08-24'; Consumption decrease rate = (consumption_2012 - consumption_2013) / consumption_2012",challenging,"The SQL result returns a single numeric consumption decrease rate of -5.815242674672346, which matches the expected decrease rate computed from cons2012 (158,448) and cons2013 (1,079,860): (158,448 - 1,079,860) / 158,448 ≈ -5.81524. Row count and value semantically match the ground-truth calculation.",CORRECT,"The SPARQL result includes cons2012 = 158,448 and cons2013 = 1,079,860 and a decreaseRate of -5.81524, which correctly represents (158,448 - 1,079,860) / 158,448. Extra columns (customer info and yearly sums) are allowed and the computed rate matches the expected value.",CORRECT,NONE,Both predictions produce the same correct consumption decrease rate (~-5.81524) and are therefore correct.,TIE_BOTH_CORRECT
1528,debit_card_specializing,"What is the percentage of ""premium"" against the overall segment in Country = ""SVK""?",simple,"The SQL result value 35.68 matches the ground-truth percentage 35.681818... within allowed rounding differences, and the result has the expected single-row numeric percentage.",CORRECT,"The SPARQL output provides total (880) and premium (314) counts and computes percentage 35.6818, which matches the ground-truth percentage; extra columns are allowed.",CORRECT,NONE,"Both predictions produce the same percentage as the ground truth (within rounding), so both are correct.",TIE_BOTH_CORRECT
1529,debit_card_specializing,"What is the amount spent by customer ""38508"" at the gas stations? How much had the customer spent in January 2012? Context: January 2012 refers to the Date value = '201201'",moderate,"The SQL result returns a single row but the numeric values do not match the ground truth: total_spent_at_gasstations is 88612.38 (ground truth 68740.2) and spent_jan_2012 is 67156.94 (ground truth 3437.01). Values differ beyond minor rounding, so the answer is incorrect.",WRONG_ANSWER,The SPARQL result includes the customer IRI (allowed) but the numeric values do not match the ground truth: totalSpent 88612.4 (should be 68740.2) and spent201201 is 0 (should be 3437.01). This indicates a logical error in the query aggregation or filtering.,WRONG_ANSWER,LOGIC,Both predicted queries produce incorrect numeric results compared to the ground truth; neither matches the expected totals.,TIE_BOTH_INCORRECT
1531,debit_card_specializing,Who is the top spending customer and how much is the average price per single item purchased by this customer? What currency was being used? Context: average price per single item = Total(price) / Total(amount),moderate,"The SQL result returns CustomerID 19182 with avg_price_per_item 24.2776 (CZK), but the ground truth top customer is 12459 with average ≈203.8561 CZK. The values and customer id do not match the ground truth.",WRONG_ANSWER,The SPARQL result returns customer 13665 with avg_price_per_item 5762.49 (CZK) and total_spent/total_amount that do not match the ground truth customer 12459 and average ≈203.8561 CZK. The result is semantically incorrect.,WRONG_ANSWER,LOGIC,Both predicted queries return the wrong customer and incorrect average price compared with the ground truth.,TIE_BOTH_INCORRECT
