question_id,db_id,difficulty,sql_status,sparql_status,consensus,perceived_winner
1471,debit_card_specializing,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1472,debit_card_specializing,moderate,CORRECT,CORRECT,PARTIAL_AGREEMENT,AGENT_B
1473,debit_card_specializing,moderate,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
1476,debit_card_specializing,challenging,CORRECT,CORRECT,PARTIAL_AGREEMENT,AGENT_B
1479,debit_card_specializing,moderate,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
1480,debit_card_specializing,moderate,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1481,debit_card_specializing,challenging,WRONG_ANSWER,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
1482,debit_card_specializing,challenging,WRONG_ANSWER,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_B
1483,debit_card_specializing,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1484,debit_card_specializing,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1486,debit_card_specializing,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1490,debit_card_specializing,moderate,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_B
1493,debit_card_specializing,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1498,debit_card_specializing,simple,WRONG_ANSWER,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
1500,debit_card_specializing,simple,WRONG_ANSWER,SCHEMA_MISMATCH,FULL_AGREEMENT,TIE
1501,debit_card_specializing,moderate,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
1505,debit_card_specializing,simple,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_B
1506,debit_card_specializing,moderate,CORRECT,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_B
1507,debit_card_specializing,simple,CORRECT,CORRECT,FULL_AGREEMENT,TIE
1509,debit_card_specializing,moderate,CORRECT,CORRECT,FULL_AGREEMENT,TIE
1514,debit_card_specializing,simple,CORRECT,CORRECT,FULL_AGREEMENT,TIE
1515,debit_card_specializing,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1521,debit_card_specializing,moderate,CORRECT,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_A
1524,debit_card_specializing,simple,WRONG_ANSWER,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_B
1525,debit_card_specializing,simple,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_A
1526,debit_card_specializing,challenging,WRONG_ANSWER,WRONG_ANSWER,FULL_AGREEMENT,AGENT_B
1528,debit_card_specializing,simple,CORRECT,CORRECT,FULL_AGREEMENT,AGENT_B
1529,debit_card_specializing,moderate,WRONG_ANSWER,WRONG_ANSWER,PARTIAL_AGREEMENT,AGENT_A
1531,debit_card_specializing,moderate,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
1533,debit_card_specializing,moderate,WRONG_ANSWER,WRONG_ANSWER,TOTAL_DISAGREEMENT,AGENT_B
5,california_schools,simple,CORRECT,SCHEMA_MISMATCH,TOTAL_DISAGREEMENT,AGENT_A
